Rang	Ort	Kanton	Steuersatz
1	Baar	ZG	5.63
2	Zug	ZG	5.75
3	Walchwil	ZG	5.82
4	Steinhausen	ZG	5.94
5	Risch	ZG	6.00
6	Cham	ZG	6.07
7	Wollerau	SZ	6.08
8	Oberägeri	ZG	6.13
9	Neuheim	ZG	6.21
10	Hünenberg	ZG	6.27
11	Unterägeri	ZG	6.29
12	Menzingen	ZG	6.33
13	Feusisberg	SZ	6.36
14	Freienbach	SZ	6.43
15	Altendorf	SZ	7.97
16	Lachen	SZ	8.09
17	Küssnacht (SZ)	SZ	8.51
18	Hergiswil (NW)	NW	8.76
19	Vorderthal	SZ	8.80
20	Kilchberg (ZH)	ZH	8.92
21	Rüschlikon	ZH	8.92
22	Küsnacht (ZH)	ZH	8.97
23	Riemenstalden	SZ	8.99
24	Herrliberg	ZH	9.02
25	Winkel	ZH	9.02
26	Erlenbach (ZH)	ZH	9.07
27	Meilen	ZH	9.07
28	Neerach	ZH	9.07
29	Zollikon	ZH	9.21
30	Uitikon	ZH	9.36
31	Zumikon	ZH	9.36
32	Rongellen	GR	9.37
33	Stansstad	NW	9.38
34	Meggen	LU	9.39
35	Thalwil	ZH	9.40
36	Boppelsen	ZH	9.45
37	Oberrieden	ZH	9.45
38	Alpthal	SZ	9.46
39	Ennetbürgen	NW	9.46
40	Lauerz	SZ	9.46
41	Maur	ZH	9.50
42	Seuzach	ZH	9.50
43	Wettswil am Albis	ZH	9.50
44	Galgenen	SZ	9.51
45	Innerthal	SZ	9.51
46	Oberdorf (NW)	NW	9.54
47	Aesch (ZH)	ZH	9.55
48	Muotathal	SZ	9.55
49	Steinerberg	SZ	9.58
50	Horgen	ZH	9.60
51	Uetikon am See	ZH	9.60
52	Dinhard	ZH	9.64
53	Brütten	ZH	9.69
54	Nürensdorf	ZH	9.69
55	Oberiberg	SZ	9.69
56	Lufingen	ZH	9.74
57	Sattel	SZ	9.74
58	Stäfa	ZH	9.74
59	Greifensee	ZH	9.79
60	Wiesendangen	ZH	9.79
61	Dietlikon	ZH	9.84
62	Celerina/Schlarigna	GR	9.88
63	Ingenbohl	SZ	9.88
64	Oetwil an der Limmat	ZH	9.88
65	Wangen-Brüttisellen	ZH	9.88
66	Unteriberg	SZ	9.93
67	Wallisellen	ZH	9.93
68	Appenzell	AI	9.97
69	Fällanden	ZH	9.98
70	Gersau	SZ	9.98
71	Männedorf	ZH	9.98
72	Otelfingen	ZH	9.98
73	Tuggen	SZ	9.98
74	Wangen (SZ)	SZ	9.98
75	Weiach	ZH	9.98
76	Schwyz	SZ	10.00
77	Beckenried	NW	10.01
78	Oberwil-Lieli	AG	10.01
79	Egg	ZH	10.03
80	Geroldswil	ZH	10.03
81	Sarnen	OW	10.04
82	Arth	SZ	10.05
83	Dielsdorf	ZH	10.08
84	Stallikon	ZH	10.08
85	Aeugst am Albis	ZH	10.13
86	Freienstein-Teufen	ZH	10.13
87	Volketswil	ZH	10.13
88	Hettlingen	ZH	10.17
89	Langnau am Albis	ZH	10.22
90	Opfikon	ZH	10.22
91	Weiningen (ZH)	ZH	10.22
92	Weisslingen	ZH	10.22
93	Schattdorf	UR	10.24
94	Seedorf (UR)	UR	10.25
95	Dänikon	ZH	10.27
96	Unterengstringen	ZH	10.27
97	Hüntwangen	ZH	10.32
98	Schwerzenbach	ZH	10.32
99	Reichenburg	SZ	10.33
100	Rothenthurm	SZ	10.33
101	Engelberg	OW	10.37
102	Bürglen (UR)	UR	10.39
103	Steinen	SZ	10.40
104	Adliswil	ZH	10.41
105	Bäretswil	ZH	10.41
106	Bubikon	ZH	10.41
107	Dübendorf	ZH	10.41
108	Kloten	ZH	10.41
109	Oberweningen	ZH	10.41
110	Wil (ZH)	ZH	10.41
111	Schübelbach	SZ	10.45
112	Urmein	GR	10.45
113	Bachenbülach	ZH	10.46
114	Dällikon	ZH	10.46
115	Hüttikon	ZH	10.46
116	Mettmenstetten	ZH	10.46
117	Rickenbach (ZH)	ZH	10.46
118	Rorbas	ZH	10.46
119	Altdorf (UR)	UR	10.47
120	Pfäffikon	ZH	10.51
121	Rümlang	ZH	10.51
122	St. Moritz	GR	10.51
123	Wädenswil	ZH	10.51
124	Attinghausen	UR	10.54
125	Bottighofen	TG	10.54
126	Schongau	LU	10.54
127	Buchs (ZH)	ZH	10.56
128	Dättlikon	ZH	10.56
129	Hedingen	ZH	10.56
130	Henggart	ZH	10.56
131	Niederglatt	ZH	10.56
132	Schöfflisdorf	ZH	10.56
133	Uster	ZH	10.56
134	Einsiedeln	SZ	10.59
135	Bassersdorf	ZH	10.61
136	Buochs	NW	10.61
137	Fehraltorf	ZH	10.61
138	Neftenbach	ZH	10.61
139	Niederweningen	ZH	10.61
140	Pfungen	ZH	10.61
141	Steinmaur	ZH	10.61
142	Thalheim an der Thur	ZH	10.61
143	Laax	GR	10.64
144	Birmensdorf (ZH)	ZH	10.65
145	Bonstetten	ZH	10.65
146	Cadempino	TI	10.65
147	Emmetten	NW	10.65
148	Flüelen	UR	10.65
149	Mönchaltorf	ZH	10.65
150	Porza	TI	10.65
151	Regensberg	ZH	10.65
152	Wasterkingen	ZH	10.65
153	Berg am Irchel	ZH	10.70
154	Buch am Irchel	ZH	10.70
155	Bülach	ZH	10.70
156	Dorf	ZH	10.70
157	Rüte	AI	10.70
158	Schleinikon	ZH	10.70
159	Bauen	UR	10.71
160	Stans	NW	10.71
161	Bioggio	TI	10.72
162	Sachseln	OW	10.73
163	Ennetmoos	NW	10.75
164	Flaach	ZH	10.75
165	Gonten	AI	10.75
166	Niederhasli	ZH	10.75
167	Richterswil	ZH	10.75
168	Morschach	SZ	10.76
169	Bedretto	TI	10.78
170	Mezzovico-Vira	TI	10.78
171	Paradiso	TI	10.78
