Rang	Ort	Kanton	Steuersatz
1801	Bercher	VD	16.05
1802	Chapelle (Glâne)	FR	16.05
1803	Chavannes-près-Renens	VD	16.05
1804	Chêne-Pâquier	VD	16.05
1805	Courtepin	FR	16.05
1806	Dizy	VD	16.05
1807	Dulliken	SO	16.05
1808	Ependes (FR)	FR	16.05
1809	Hofstetten-Flüh	SO	16.05
1810	Juriens	VD	16.05
1811	Lausanne	VD	16.05
1812	Marchissy	VD	16.05
1813	Safnern	BE	16.05
1814	Villarsel-sur-Marly	FR	16.05
1815	Vucherens	VD	16.05
1816	Wangen bei Olten	SO	16.05
1817	Boulens	VD	16.06
1818	Cronay	VD	16.06
1819	Cuarny	VD	16.06
1820	Orzens	VD	16.06
1821	Rapperswil (BE)	BE	16.06
1822	Schüpfen	BE	16.06
1823	Valeyres-sous-Ursins	VD	16.06
1824	Villarzel	VD	16.06
1825	Wittenbach	SG	16.06
1826	Farnern	BE	16.07
1827	Le Noirmont	JU	16.07
1828	Rumisberg	BE	16.07
1829	Vechigen	BE	16.07
1830	Burg im Leimental	BL	16.08
1831	Dotzigen	BE	16.08
1832	Hochwald	SO	16.09
1833	Le Pâquier (FR)	FR	16.09
1834	Sigriswil	BE	16.09
1835	Grandcour	VD	16.10
1836	Konolfingen	BE	16.10
1837	Niederhünigen	BE	16.10
1838	Champéry	VS	16.11
1839	Erlenbach im Simmental	BE	16.11
1840	Hagneck	BE	16.11
1841	Isérables	VS	16.11
1842	Lyss	BE	16.11
1843	Nidau	BE	16.11
1844	Villeret	BE	16.11
1845	Bournens	VD	16.12
1846	Burtigny	VD	16.12
1847	Deitingen	SO	16.12
1848	Nesslau	SG	16.12
1849	Saubraz	VD	16.12
1850	Schänis	SG	16.12
1851	St. Gallen	SG	16.12
1852	Täsch	VS	16.12
1853	Bussy-sur-Moudon	VD	16.13
1854	Corserey	FR	16.13
1855	Dompierre (VD)	VD	16.13
1856	Heitenried	FR	16.13
1857	La Verrerie	FR	16.13
1858	Les Clées	VD	16.13
1859	Lignerolle	VD	16.13
1860	Remaufens	FR	16.13
1861	Saint-Martin (FR)	FR	16.13
1862	Trey	VD	16.13
1863	Waldenburg	BL	16.13
1864	Aeschi bei Spiez	BE	16.14
1865	Bargen (BE)	BE	16.14
1866	Krattigen	BE	16.14
1867	Neckertal	SG	16.14
1868	Radelfingen	BE	16.14
1869	Senèdes	FR	16.14
1870	Delémont	JU	16.16
1871	Grossaffoltern	BE	16.16
1872	Neuendorf	SO	16.16
1873	Benken (SG)	SG	16.17
1874	Mosnang	SG	16.17
1875	Thun	BE	16.17
1876	Uznach	SG	16.17
1877	Zäziwil	BE	16.17
1878	Boltigen	BE	16.18
1879	Champoz	BE	16.18
1880	Därstetten	BE	16.18
1881	Eggerberg	VS	16.18
1882	Gempen	SO	16.18
1883	Kappel (SO)	SO	16.18
1884	Kestenholz	SO	16.18
1885	Lauenen	BE	16.18
1886	Melchnau	BE	16.18
1887	Saas-Fee	VS	16.18
1888	Saas-Grund	VS	16.18
1889	Sutz-Lattrigen	BE	16.18
1890	Thierachern	BE	16.18
1891	Worb	BE	16.18
1892	Auswil	BE	16.19
1893	Fraubrunnen	BE	16.19
1894	Longirod	VD	16.19
1895	Moiry	VD	16.19
1896	Oppens	VD	16.19
1897	Premier	VD	16.19
1898	Rossinière	VD	16.19
1899	Rümligen	BE	16.19
1900	Saint-Oyens	VD	16.19
1901	Vaulion	VD	16.19
1902	Wünnewil-Flamatt	FR	16.19
1903	Démoret	VD	16.20
1904	L'Abergement	VD	16.20
1905	Molondin	VD	16.20
1906	Nuvilly	FR	16.20
1907	Provence	VD	16.20
1908	Romont (FR)	FR	16.21
1909	Villarepos	FR	16.21
1910	Brenzikofen	BE	16.22
1911	Günsberg	SO	16.22
1912	Stüsslingen	SO	16.22
1913	Wolfwil	SO	16.22
1914	Altstätten	SG	16.23
1915	Ebnat-Kappel	SG	16.23
1916	Jonschwil	SG	16.23
1917	Seedorf (BE)	BE	16.23
1918	Pohlern	BE	16.24
1919	Prévondavaux	FR	16.24
1920	Rüti bei Lyssach	BE	16.24
1921	Horrenbach-Buchen	BE	16.25
